school_name,address,lat,lng
Arts Academy at Benjamin Rush High School,"11081 Knights Rd, Philadelphia, PA 19154",40.120529,-74.991158
Bodine High School for International Affairs,"1101 N 4th St, Philadelphia, PA 19123",39.967111,-75.144354
CAPA,"901 S Broad St, Philadelphia, PA 19147",39.937054,-75.166218
George Washington Carver High School of Engineering and Science,"1600 W Norris St, Philadelphia, PA 19121",39.981221,-75.162017
Central High School,"1700 W Olney Ave, Philadelphia, PA 19141",40.035344,-75.141794
Girard Academic Music Program,"2136 W Ritner St, Philadelphia, PA 19145",39.918408,-75.178938
Franklin Learning Center,"616 N 15th St, Philadelphia, PA 19130",39.958724,-75.16464
Hill Freedman World Academy at Leeds Campus,"1100 E Mt Pleasant Ave, Philadelphia, PA 19150",40.041697,-75.152361
Masterman School,"1699 Spring Garden St, Philadelphia, PA 19130",39.964387,-75.157116
Kensington High School for the Creative and Performing Arts,"1901 N Front St, Philadelphia, PA 19122",39.978795,-75.13616
Kensington Health Sciences Academy,"2463 Emerald St, Philadelphia, PA 19125",39.980509,-75.12765
Parkway Center City High School,"540 N 13th St, Philadelphia, PA 19123",39.961542,-75.159161
Parkway Northwest High School,"6200 Crittenden St, Philadelphia, PA 19138",40.043063,-75.159152
Parkway West High School,"4725 Fairmount Ave # 2, Philadelphia, PA 19139",39.962788,-75.215917
Philadelphia High School For Girls,"1400 W Olney Ave, Philadelphia, PA 19141",40.039086,-75.152626
Philadelphia Learning Academy,"4300 Westminster Ave, Philadelphia, PA 19104",39.960547,-75.198834
Philadelphia Military Academy,"2118 N 13th St, Philadelphia, PA 19122",39.982233,-75.146346
Philadelphia Virtual Academy,"440 N Broad St G3, Philadelphia, PA 19130",39.957708,-75.162393
Science Leadership Academy,"1482 Green St. Philadelphia, PA 19130",39.966212,-75.165151
Science Leadership Academy at Beeber,Science Leadership Academy at Beeber,39.99328,-75.228839
The LINC High School,"122 W Erie Ave, Philadelphia, PA 19140",40.014671,-75.123762
Walter B. Saul High School,"7100 Henry Ave, Philadelphia, PA 19128",40.043626,-75.231154
Building 21 Philadelphia,"6501 Limekiln Pike, Philadelphia, PA 19138",40.051518,-75.152186
Constitution High School,"18 S 7th St, Philadelphia, PA 19106",39.951856,-75.154484
Dobbins Technical High School,"2150 W Lehigh Ave, Philadelphia, PA 19132",40.001994,-75.165253
School of the Future,"4021 Parkside Ave, Philadelphia, PA 19104",39.980105,-75.209906
Lankenau Environmental Science Magnet High School,"201 Spring Ln, Philadelphia, PA 19128",40.030646,-75.225163
Jules E Mastbaum Area Vocational Technical School,"3116 Frankford Ave, Philadelphia, PA 19134",39.980236,-75.113788
Motivation High School,"5900 Baltimore Ave, Philadelphia, PA 19143",39.953073,-75.218477
Paul Robeson High School,"4125 Ludlow St, Philadelphia, PA 19104",39.956304,-75.203426
A. Philip Randolph Career and Technical High School,"3101 Henry Ave, Philadelphia, PA 19129",40.022946,-75.183469
The Workshop School,"221 Hanson St, Philadelphia, PA 19139",39.961859,-75.238052
Swenson Arts & Tech High School,"2750 Red Lion Rd, Philadelphia, PA 19114",40.067457,-74.989115
